Fermi GBM Flare List  (generated 29-May-2025 05:00)
                                                                                                    
Total # flares: 1443   Time range: 07-Oct-2024 00:00:00.000 - 16-May-2025 00:00:00.000
                                                                                                    
   Flare         Start time         Peak     End       Peak        Avg. Count      Sunward
                                                       c/ms           Rate        Detectors

 241007_1022  7-Oct-2024 10:22:23 10:24:20 10:31:14   28.137    4754.9472693032  n0 n1 n3 n5
 241007_1042  7-Oct-2024 10:42:16 10:42:40 10:43:21    0.946     153.8484848485  n5 n1 n3 n0
 241007_1046  7-Oct-2024 10:46:46 10:48:37 10:48:41    0.718      99.2434782609  n5 n1 n3 n4
 241007_1156  7-Oct-2024 11:56:07 12:07:51 12:12:34    3.852     223.6778115502  n5 n3 n1 n4
 241007_1213  7-Oct-2024 12:13:39 12:14:37 12:15:42    0.864     143.6097560976  n5 n4 n2 n3
 241007_1353  7-Oct-2024 13:53:25 13:53:45 13:54:01    1.241     162.0000000000  n5 n1 n3 n4
 241007_1617  7-Oct-2024 16:17:27 16:18:04 16:18:37    1.379     215.5000000000  n5 n1 n3 n0
 241007_1758  7-Oct-2024 17:58:17 18:09:33 18:42:35   14.599    1031.3852520692  n5 n3 n1 n4
 241007_1918  7-Oct-2024 19:18:38 19:18:43 20:17:30  281.882   61374.6002265006  n5 n4 n2 n3
 241007_2053  7-Oct-2024 20:53:25 20:53:41 21:52:28  113.755   14608.7372283376  n5 n1 n3 n4
 241007_2228  7-Oct-2024 22:28:10 22:36:50 23:26:57    3.504     531.6163878650  n5 n1 n3 n0
 241008_0002  8-Oct-2024 00:02:55 01:01:46 01:01:54    1.490     167.0695111613  n5 n4 n2 n3
 241008_0345  8-Oct-2024 03:45:25 03:46:31 03:53:37    1.348     200.0284552846  n5 n3 n1 n4
 241008_0650  8-Oct-2024 06:50:17 06:52:28 07:05:02    1.640     211.2711864407  n5 n3 n1 n4
 241008_0816  8-Oct-2024 08:16:43 08:18:14 08:22:07    7.875     563.2870370370  n1 n3 n0 n5
 241008_1147  8-Oct-2024 11:47:37 11:49:07 11:53:33    3.609     334.8623595506  n1 n3 n0 n5
 241008_1747  8-Oct-2024 17:47:57 17:49:40 17:56:37    9.154     637.0596153846  n5 n3 n1 n4
 241008_1907  8-Oct-2024 19:07:16 19:07:44 19:08:21    1.260     161.6515151515  n5 n1 n3 n4
 241008_2034  8-Oct-2024 20:34:55 20:35:20 20:39:21    1.149     145.5827067669  n5 n1 n3 n4
 241009_0002  9-Oct-2024 00:02:06 00:03:32 00:04:04    1.535     264.2268907563  n5 n3 n1 n4
 241009_0129  9-Oct-2024 01:29:34 01:49:40 02:18:38  550.813  200501.4565217391  n5 n3 n1 n4
 241009_0254  9-Oct-2024 02:54:30 02:54:34 03:53:11   12.875    1159.9730190287  n5 n1 n3 n4
 241009_0433  9-Oct-2024 04:33:25 05:02:34 05:27:09    0.847     123.1488833747  n5 n3 n1 n4
 241009_0617  9-Oct-2024 06:17:50 06:41:52 06:47:03    1.208     160.3953223046  n5 n3 n1 n4
 241009_0951  9-Oct-2024 09:51:50 09:56:08 10:02:37    7.069     481.0772797527  n5 n3 n1 n4
 241009_1130  9-Oct-2024 11:30:31 11:30:59 11:32:05    1.044     199.6170212766  n5 n3 n1 n4
 241009_1543  9-Oct-2024 15:43:16 15:46:04 16:17:15  797.952   97535.0819028936  n5 n3 n1 n4
 241009_2249  9-Oct-2024 22:49:45 22:50:10 22:50:35    0.560      98.6734693878  n5 n1 n3 n4
 241009_2326  9-Oct-2024 23:26:06 23:26:27 23:27:04    0.109      15.6666666667  n5 n1 n3 n4
 241010_0011 10-Oct-2024 00:11:51 00:12:46 00:15:25   23.947    3562.3720930233  n5 n3 n1 n4
 241010_0154 10-Oct-2024 01:54:17 01:55:10 01:56:22   10.637    2835.9435483871  n5 n4 n1 n3
 241010_0250 10-Oct-2024 02:50:27 02:50:58 02:51:51    3.304     768.4819277108  n5 n3 n1 n4
 241010_0436 10-Oct-2024 04:36:49 04:37:22 04:38:23    2.968     337.0425531915  n5 n3 n1 n4
 241010_1054 10-Oct-2024 10:54:17 10:54:58 10:55:31    1.428     273.5810810811  n5 n3 n1 n4
 241010_1204 10-Oct-2024 12:04:15 12:11:50 12:11:58    1.092     100.8941684665  n5 n4 n1 n3
 241010_1217 10-Oct-2024 12:17:04 12:23:41 12:58:30   12.931     311.2071600965  n5 n3 n1 n4
 241010_1409 10-Oct-2024 14:09:22 14:10:11 14:11:58    1.000     199.2756410256  n5 n3 n1 n4
 241010_1429 10-Oct-2024 14:29:51 14:38:15 14:38:35   14.778     436.0782442748  n5 n1 n3 n4
 241010_1601 10-Oct-2024 16:01:40 16:02:17 16:03:39    3.830     277.6806722689  n5 n3 n1 n4
 241010_1607 10-Oct-2024 16:07:57 16:08:21 16:10:04    0.736     142.1732283465  n5 n4 n1 n2
 241010_1654 10-Oct-2024 16:54:24 16:57:57 17:15:16   37.884    4783.5942492013  n5 n3 n1 n4
 241010_1920 10-Oct-2024 19:20:50 19:21:15 19:22:29    1.129     150.5816326531  n5 n3 n1 n4
 241010_2132 10-Oct-2024 21:32:56 21:32:56 21:35:11    1.074     116.0074074074  n5 n1 n3 n4
 241010_2137 10-Oct-2024 21:37:30 22:20:00 22:32:35  104.603   11884.1888048411  n5 n3 n1 n4
 241010_2307 10-Oct-2024 23:07:43 23:07:47 23:11:08    3.860     250.1756097561  n5 n1 n3 n4
 241011_0353 11-Oct-2024 03:53:31 03:53:31 03:53:48    2.126     419.1250000000  n5 n1 n3 n4
 241011_1201 11-Oct-2024 12:01:59 12:02:20 12:02:49    2.977     569.6122448980  n5 n3 n1 n4
 241011_1355 11-Oct-2024 13:55:39 13:57:38 14:03:30    3.609     407.0297239915  n5 n3 n1 n4
