Fermi GBM Flare List  (generated 29-May-2025 05:00)
                                                                                                    
Total # flares: 1232   Time range: 14-Nov-2014 00:00:00.000 - 01-Jun-2017 00:00:00.000
                                                                                                    
   Flare         Start time         Peak     End       Peak        Avg. Count      Sunward
                                                       c/ms           Rate        Detectors

 141114_2004 14-Nov-2014 20:04:56 20:06:31 20:12:35   12.764     645.4161220044  n0 n1 n6 n3
 141114_2336 14-Nov-2014 23:36:54 23:37:26 23:41:28    2.030     275.9379562044  n0 n3 n1 n6
 141115_1143 15-Nov-2014 11:43:00 11:45:03 11:46:38   13.701    1076.4654377880  n5 n3 n1 n4
 141115_1214 15-Nov-2014 12:14:21 12:14:38 12:19:32    0.601     109.7781350482  n0 n3 n1 n6
 141115_2130 15-Nov-2014 21:30:48 21:31:03 21:31:13    3.504    1497.4800000000  n0 n1 n3 n6
 141115_2155 15-Nov-2014 21:55:49 21:56:33 21:57:02   17.155    3287.7123287671  n0 n3 n1 n6
 141115_2334 15-Nov-2014 23:34:32 23:35:05 23:37:32    1.407     217.0277777778  n0 n3 n1 n6
 141119_1859 19-Nov-2014 18:59:58 19:01:24 19:03:35    4.944     418.6820276498  n5 n4 n2 n1
 141120_0623 20-Nov-2014 06:23:57 06:35:53 06:55:09   39.730    1352.0432692308  n0 n3 n1 n6
 141121_0025 21-Nov-2014 00:25:47 00:26:49 00:31:56   10.146     660.9105691057  n0 n3 n1 n6
 141121_0443 21-Nov-2014 04:43:55 04:44:20 04:46:14   13.594    3033.2500000000  n0 n3 n1 n6
 141122_0010 22-Nov-2014 00:10:25 00:12:57 00:19:42    1.438     216.0646319569  n0 n6 n3 n1
 141122_0059 22-Nov-2014 00:59:05 00:59:10 01:07:46   12.374     712.0269230769  n5 n4 n2 n1
 141122_0600 22-Nov-2014 06:00:15 06:03:07 06:18:20   39.410    1426.6082949309  n0 n1 n6 n3
 141122_1709 22-Nov-2014 17:09:35 17:11:58 17:16:15   12.985    1930.6575000000  n6 n0 n3 n7
 141123_0549 23-Nov-2014 05:49:24 05:49:28 05:50:13    4.664     914.6938775510  n3 n5 n1 n0
 141123_1047 23-Nov-2014 10:47:39 10:47:43 11:03:33    1.471     200.6037735849  n0 n3 n1 n6
 141123_1913 23-Nov-2014 19:13:41 19:14:42 19:15:52    0.818     147.5190839695  n0 n1 n3 n6
 141124_1052 24-Nov-2014 10:52:00 10:53:42 11:10:17   15.363     864.0965391621  n0 n3 n1 n6
 141126_0032 26-Nov-2014 00:32:38 00:33:19 00:35:46    2.194     283.8404255319  n1 n5 n0 n3
 141126_1802 26-Nov-2014 18:02:03 18:03:42 18:04:43    1.124     218.3562500000  n5 n1 n0 n3
 141127_0040 27-Nov-2014 00:40:44 00:46:20 00:53:18   16.069    1439.0238726790  n0 n3 n1 n6
 141127_0102 27-Nov-2014 01:02:23 01:03:28 01:04:58    1.077     188.3653846154  n0 n3 n1 n6
 141127_0148 27-Nov-2014 01:48:07 01:52:45 02:05:31    1.262     207.0967432950  n5 n4 n2 n3
 141127_0332 27-Nov-2014 03:32:27 03:32:47 03:34:58    2.460     311.5065789474  n1 n5 n3 n0
 141127_0548 27-Nov-2014 05:48:46 05:49:52 05:53:25    1.611     263.7096774194  n0 n3 n1 n6
 141127_0650 27-Nov-2014 06:50:20 06:59:21 07:07:04    4.148     479.1932270916  n0 n3 n1 n6
 141127_0839 27-Nov-2014 08:39:24 08:43:21 08:49:34    4.884     389.2098360656  n0 n3 n1 n6
 141127_0941 27-Nov-2014 09:41:11 09:41:19 09:42:12    0.306      62.3770491803  n5 n1 n3 n4
 141127_1003 27-Nov-2014 10:03:55 10:12:11 10:28:50    1.354     235.6608695652  n0 n3 n1 n6
 141127_1511 27-Nov-2014 15:11:40 15:12:08 15:13:51    3.344    1241.0229007634  n0 n3 n1 n6
 141128_0030 28-Nov-2014 00:30:10 00:36:23 00:49:00    3.481     371.9213085765  n0 n3 n1 n6
 141128_0234 28-Nov-2014 02:34:37 02:34:45 02:34:50    1.404     412.0833333333  n5 n4 n3 n2
 141128_1626 28-Nov-2014 16:26:02 16:26:23 16:27:49    1.544     272.5094339623  n0 n3 n1 n6
 141128_2135 28-Nov-2014 21:35:38 21:36:06 21:36:39    2.185     324.0163934426  n3 n0 n1 n5
 141129_0144 29-Nov-2014 01:44:14 01:45:52 02:14:28    2.576     249.8358126722  n0 n3 n1 n6
 141129_0450 29-Nov-2014 04:50:18 04:50:39 04:51:08    2.023     391.9795918367  n5 n1 n2 n3
 141129_0825 29-Nov-2014 08:25:28 08:25:52 08:26:06    0.872     581.7894736842  n0 n3 n1 n6
 141129_1000 29-Nov-2014 10:00:07 10:01:09 10:05:10    9.981     783.6270627063  n0 n3 n1 n6
 141129_1322 29-Nov-2014 13:22:57 13:23:17 13:26:05    1.289     194.9574468085  n0 n3 n1 n6
 141129_1329 29-Nov-2014 13:29:10 13:30:56 13:32:38    0.714     115.1531100478  n5 n3 n1 n0
 141129_1430 29-Nov-2014 14:30:32 14:35:10 14:37:36   13.020    1373.5566037736  n0 n3 n1 n6
 141129_1609 29-Nov-2014 16:09:16 16:10:05 16:13:34    2.542     318.8643410853  n0 n3 n1 n6
 141129_1801 29-Nov-2014 18:01:59 18:02:44 18:07:55   19.565     997.0955056180  n0 n3 n1 n6
 141130_0144 30-Nov-2014 01:44:20 01:44:45 01:46:23    2.714     306.2845528455  n0 n3 n1 n5
 141130_1718 30-Nov-2014 17:18:23 17:18:44 17:19:49    1.932     211.6395348837  n1 n3 n5 n0
 141201_0017  1-Dec-2014 00:17:09 00:19:11 00:31:16    2.832     324.6356132075  n0 n3 n1 n5
 141201_0628  1-Dec-2014 06:28:36 06:34:35 06:52:59   96.787   14567.7086183311  n0 n3 n1 n5
