Fermi GBM Flare List  (generated 29-May-2025 05:00)
                                                                                                    
Total # flares: 1204   Time range: 09-Oct-2022 00:00:00.000 - 29-Jun-2023 00:00:00.000
                                                                                                    
   Flare         Start time         Peak     End       Peak        Avg. Count      Sunward
                                                       c/ms           Rate        Detectors

 221009_0820  9-Oct-2022 08:20:48 08:22:30 08:26:07    1.224     231.8087774295  n5 n3 n1 n4
 221009_0919  9-Oct-2022 09:19:10 09:19:43 09:20:32    4.191     439.7560975610  n5 n3 n1 n4
 221009_1059  9-Oct-2022 10:59:38 11:00:47 11:02:42    1.372     252.0489130435  n5 n3 n1 n4
 221009_1414  9-Oct-2022 14:14:05 14:23:22 14:35:27    1.385     238.6575663027  n5 n3 n1 n4
 221009_1842  9-Oct-2022 18:42:31 18:43:00 18:43:37    1.485     228.4090909091  n5 n1 n3 n4
 221009_2153  9-Oct-2022 21:53:05 21:54:06 21:57:47    2.963     156.9681978799  n5 n1 n3 n4
 221009_2213  9-Oct-2022 22:13:38 22:15:12 22:21:49    1.280     232.4288617886  n5 n3 n1 n4
 221009_2348  9-Oct-2022 23:48:24 23:53:56 23:59:44    2.072     251.5117647059  n5 n3 n1 n4
 221010_0007 10-Oct-2022 00:07:02 00:22:56 00:23:17    3.582     349.4287179487  n5 n1 n3 n4
 221010_1540 10-Oct-2022 15:40:55 15:42:54 15:55:48   25.123     826.3762597984  n5 n3 n1 n4
 221010_1603 10-Oct-2022 16:03:55 16:16:00 16:17:18   37.266    2826.7334993773  n5 n1 n3 n4
 221010_1912 10-Oct-2022 19:12:00 19:12:37 19:13:38    2.005     311.2448979592  n5 n3 n1 n4
 221010_1919 10-Oct-2022 19:19:51 19:20:39 19:22:54   12.421    2317.7158469945  n5 n4 n2 n1
 221010_2053 10-Oct-2022 20:53:06 20:53:10 20:53:26    1.699     324.9000000000  n5 n4 n1 n3
 221010_2318 10-Oct-2022 23:18:31 23:19:12 23:22:38   19.516    3243.6801619433  n5 n4 n1 n3
 221010_2323 10-Oct-2022 23:23:59 23:24:31 23:24:52    1.658    1278.1509433962  n5 n3 n1 n4
 221011_0847 11-Oct-2022 08:47:19 08:47:27 08:48:13    0.439      72.9056603774  n5 n1 n3 n4
 221011_1049 11-Oct-2022 10:49:41 10:51:08 10:59:42  133.258   16513.6356073211  n5 n3 n1 n4
 221011_1639 11-Oct-2022 16:39:24 16:39:24 16:46:18    2.391     198.1835748792  n5 n1 n3 n4
 221011_1814 11-Oct-2022 18:14:34 18:16:56 18:22:17   12.512    2497.7943722944  n5 n1 n3 n4
 221012_0922 12-Oct-2022 09:22:07 09:24:18 09:27:34    1.199     180.5792682927  n5 n4 n2 n1
 221012_1627 12-Oct-2022 16:27:26 16:28:46 16:31:07   29.293    3870.4343891403  n5 n1 n3 n4
 221013_0022 13-Oct-2022 00:22:40 00:22:40 00:25:40    0.503      57.1555555556  n5 n1 n3 n4
 221013_0223 13-Oct-2022 02:23:38 02:24:50 02:26:51    3.612    1333.4663212435  n5 n3 n1 n4
 221013_0226 13-Oct-2022 02:26:53 02:27:18 02:28:40    1.651     997.6509433962  n5 n3 n1 n4
 221013_0228 13-Oct-2022 02:28:54 02:29:55 02:30:09    1.165     912.8533333333  n5 n3 n1 n4
 221013_0909 13-Oct-2022 09:09:40 09:11:43 09:18:32    2.348     450.2105263158  n5 n4 n2 n1
 221014_0941 14-Oct-2022 09:41:03 09:41:20 10:27:12    4.881     380.0639219935  n5 n1 n3 n4
 221015_1414 15-Oct-2022 14:14:50 14:18:19 14:48:34    5.459     354.5763717252  n5 n1 n3 n4
 221016_1604 16-Oct-2022 16:04:17 16:04:58 16:06:32    8.964     596.3407407407  n5 n3 n1 n4
 221017_1701 17-Oct-2022 17:01:15 17:26:27 17:31:38    0.793     142.4810751509  n0 n1 n3 n5
 221018_1411 18-Oct-2022 14:11:33 14:12:14 14:14:13    2.852     375.4062500000  n5 n3 n1 n4
 221019_2143 19-Oct-2022 21:43:35 21:44:34 21:48:55   16.030    2692.3531250000  n5 n3 n1 n0
 221020_1327 20-Oct-2022 13:27:23 13:28:00 13:28:49    1.004     218.9651162791  n5 n3 n1 n4
 221020_1342 20-Oct-2022 13:42:07 13:42:52 13:44:47    1.251     259.3187500000  n5 n3 n1 n0
 221020_1635 20-Oct-2022 16:35:03 16:35:52 16:38:11    3.212     350.0638297872  n5 n3 n1 n4
 221020_1642 20-Oct-2022 16:42:21 16:48:46 16:50:29   10.261     548.3819301848  n5 n3 n1 n0
 221020_1716 20-Oct-2022 17:16:58 17:18:16 17:18:24    6.729     435.4534883721  n5 n4 n2 n3
 221020_1949 20-Oct-2022 19:49:30 19:49:59 19:52:10    1.455     269.4000000000  n5 n3 n1 n0
 221021_0713 21-Oct-2022 07:13:09 07:15:20 07:17:39    1.083     214.8592592593  n1 n3 n0 n5
 221022_0327 22-Oct-2022 03:27:51 03:40:17 03:49:14    1.092     234.1318252730  n5 n3 n1 n0
 221022_0531 22-Oct-2022 05:31:38 05:34:01 05:46:06   17.903    1782.8836405530  n5 n1 n3 n0
 221022_1030 22-Oct-2022 10:30:38 10:31:23 10:31:28    1.504     266.7346938776  n5 n4 n2 n3
 221024_0757 24-Oct-2022 07:57:32 07:58:38 08:04:52    8.234    2277.6000000000  n1 n3 n0 n5
 221026_1238 26-Oct-2022 12:38:24 12:39:58 12:49:11    3.900     378.4219474498  n5 n3 n1 n4
 221028_0835 28-Oct-2022 08:35:58 08:36:30 08:37:03    3.063     504.9242424242  n3 n1 n0 n5
 221104_0718  4-Nov-2022 07:18:21 07:28:52 07:41:30    3.955     432.5449964003  n5 n1 n3 n4
 221107_0003  7-Nov-2022 00:03:27 00:08:39 00:36:43  230.231   30273.4108216433  n3 n1 n0 n5
